,comments
101,#I #Love #This #Song.
102,It's amazing how timeless some songs are!
103,I was 9 years old when this song came out and now I'm going to be 18 and I still listen to it because it's my favorite from my childhood 🫶 and happy new year 2024 
104,Legends say Mark Ronson is still nodding his head left and right after 7 years.
105,Não tem como melhor música
106,Justo en el día del logro tengo que bailar esta canción sin duda es un musicon
107,
108,"No matter how many years pass, this song will stay in our hearts forever"
109,Dont care what anyone says..hes the No. 1 all round best performer in the world today...makes eveeything look so super cool and effortless..just love him!!
110,I have been listening this song on repeat for 3 days still it feels new.
111,now this is the kind of music 2015 needs
112,Everyone in this vid makes it perfect. I wish I could get dancing  lessons from Bruno!
113,Umas das melhores 
114,"2024 e eu aqui, amor da minha vidaaaaaaaaaaaa "
115,"Desde Argentina...con todo respeto...a las demás cantantes! La mejor voz femenina....Grossa,hermosa y talentosa te Amomos Céline...sos lo mejor que le paso a la música contemporánea..."
116,"This production is a true masterpiece...and thanks to the producer(s), writer(s), and Bruno Mars for the song of the 21st Century."
117,"Im so proud of Bruno. Finally a song not about twerking,sex,and drugs. Amazing 80's themed song. The Prince of Pop?"
118,this song brings back good old memories️
119,"O estilo do Bruninho, jeito de dançar, cantar e tudo mais, é nítido que ele se espelhou no Rei do Pop, mas ficou legal."
120,Still a Masterpiece
121,"Volví a este vídeo porque extrañaba escuchar, cantar y bailar esta canción."
122,Megusta mucho .
123,When I was young…. I thought this was Bruno’s song but then I realized it was Mark’s but Mark didn’t had to sing Bruno just casually sang the whole thing
124,"All hail @BrunoMars  for a genius masterpiece like #UptownFunk!
Big ups to @MarkRonson, too! He was such a good sport in this video! 
I can guarantee you a  that #FunkMusic is always gonna sweep you off your feet! 
I danced throughout the entire time watching this music video!"
125,este tema nunca muere
126,"This is December 2023 and this Mark Ronson (ft. Bruno Mars) song is sensational, simply stunning, spectacularly sparkling, spellbinding, singularly scintillating and simmering. The music is marvellously melodious, magnificently memorable and magically momentous. The singing is soulful, spellbinding, superb, sincere and sweet. DESTINED TO ATTAIN 6 BILLION VIEWS IN 2024."
127,"It's 2024 ..
absolutely never stop listening this timeless masterpiece "
128,Mark Ronson is just vibing by himself while everyone else is dancing.
129,"Funky, groovy, and a 2010's classic"
130,"I feel like this song is a secret code to a universe of emotions, and only those who truly listen get the key. Unlocking a symphony of feelings right now. "
131,awesome song
132,"Mark Ronson, very talented and business savvy. This is a good composition, but  it needed the unique talent of the exquisite Bruno Mars to make it the masterpiece of modern music and dance that it is."
133,Euuu aqui de novooo! Morro de amores! Meu pequeno lindoo!
134,I like the 70s / 80s feeling to this...
135,Bons tempos 
136,We had so much fun dancing to this song at my friend’s wedding…no one in the room could resist! 
137,Casi ya 2024 y sigo con esta rolita
138,"i was in 9th grade when this came out, last year of college and it still hits"
